query_id,doc_a,doc_b,winner,judge_model
q-000,97037,1,1,glm-5.2
q-000,73887,108791,73887,glm-5.2
q-000,22085,37585,37585,glm-5.2
q-000,97037,22085,22085,glm-5.2
q-000,127849,33901,127849,glm-5.2
q-000,97894,116208,116208,glm-5.2
q-000,85821,2392,85821,glm-5.2
q-000,25725,83623,25725,glm-5.2
q-000,84120,83671,83671,glm-5.2
q-000,37585,127849,37585,glm-5.2
q-000,73887,104983,73887,glm-5.2
q-000,53213,81898,81898,glm-5.2
q-000,81689,104806,104806,glm-5.2
q-000,104907,2392,104907,glm-5.2
q-000,52795,53213,52795,glm-5.2
q-000,85821,83623,85821,glm-5.2
q-000,83918,85821,85821,glm-5.2
q-000,104983,30143,30143,glm-5.2
q-000,33901,105220,105220,glm-5.2
q-000,97011,23624,97011,glm-5.2
q-000,105065,52795,52795,glm-5.2
q-000,96937,73887,73887,glm-5.2
q-000,37585,105220,37585,glm-5.2
q-000,2392,84075,2392,glm-5.2
q-000,81700,84075,81700,glm-5.2
q-000,104806,22085,22085,glm-5.2
q-000,105113,28801,28801,glm-5.2
q-000,81700,96980,81700,glm-5.2
q-000,97037,33901,97037,glm-5.2
q-000,97011,104806,97011,glm-5.2
q-000,2392,105220,105220,glm-5.2
q-000,96937,52795,52795,glm-5.2
q-000,73887,87314,73887,glm-5.2
q-000,81689,96543,81689,glm-5.2
q-000,105113,105107,105107,glm-5.2
q-000,85821,108791,108791,glm-5.2
q-000,33901,97894,97894,glm-5.2
q-000,105107,23624,105107,glm-5.2
q-000,87314,96937,87314,glm-5.2
q-000,81898,96543,81898,glm-5.2
q-000,37585,97894,37585,glm-5.2
q-000,81898,84120,81898,glm-5.2
q-000,30143,83623,30143,glm-5.2
q-000,105113,40122,40122,glm-5.2
q-000,104907,116208,116208,glm-5.2
q-000,83623,40122,40122,glm-5.2
q-000,81898,97037,97037,glm-5.2
q-000,83918,105220,105220,glm-5.2
q-000,81700,28801,81700,glm-5.2
q-000,23624,83671,23624,glm-5.2
q-000,30143,28801,30143,glm-5.2
q-000,22085,84120,22085,glm-5.2
q-000,96937,116208,116208,glm-5.2
q-000,25725,84075,25725,glm-5.2
q-000,96543,83918,83918,glm-5.2
q-000,28801,104907,104907,glm-5.2
q-000,83918,97037,97037,glm-5.2
q-000,53213,83671,83671,glm-5.2
q-000,30143,81700,81700,glm-5.2
q-000,104806,37585,37585,glm-5.2
q-000,105107,83671,105107,glm-5.2
q-000,25725,37585,37585,glm-5.2
q-000,96543,97011,97011,glm-5.2
q-000,105113,97037,97037,glm-5.2
q-000,85821,96937,85821,glm-5.2
q-000,104907,105065,105065,glm-5.2
q-000,108791,23624,23624,glm-5.2
q-000,96980,73887,73887,glm-5.2
q-000,87314,25725,87314,glm-5.2
q-000,105220,104907,105220,glm-5.2
q-000,23624,33901,23624,glm-5.2
q-000,104806,52795,52795,glm-5.2
q-000,40122,108791,40122,glm-5.2
q-000,40122,53213,40122,glm-5.2
q-000,96980,108791,108791,glm-5.2
q-000,105220,73887,73887,glm-5.2
q-000,97011,1,97011,glm-5.2
q-000,81689,105107,81689,glm-5.2
q-000,127849,87314,127849,glm-5.2
q-000,40122,96980,40122,glm-5.2
q-000,116208,105220,116208,glm-5.2
q-000,30143,25725,30143,glm-5.2
q-000,81689,23624,81689,glm-5.2
q-000,105113,84075,84075,glm-5.2
q-000,40122,84075,40122,glm-5.2
q-000,96543,52795,52795,glm-5.2
q-000,87314,84075,87314,glm-5.2
q-000,81700,84120,81700,glm-5.2
q-000,96980,104983,96980,glm-5.2
q-000,105107,49080,105107,glm-5.2
q-000,81898,33901,81898,glm-5.2
q-000,127849,25725,127849,glm-5.2
q-000,96937,97894,97894,glm-5.2
q-000,105107,83623,105107,glm-5.2
q-000,116208,84075,116208,glm-5.2
q-000,52795,97894,52795,glm-5.2
q-000,30143,73887,30143,glm-5.2
q-000,87314,97037,97037,glm-5.2
q-000,81700,23624,81700,glm-5.2
q-000,96980,85821,85821,glm-5.2
q-000,83671,1,1,glm-5.2
q-000,30143,97894,30143,glm-5.2
q-000,81689,104983,81689,glm-5.2
q-000,84120,25725,25725,glm-5.2
q-000,73887,104806,73887,glm-5.2
q-000,23624,85821,85821,glm-5.2
q-001,118798,46874,46874,glm-5.2
q-001,31894,106922,31894,glm-5.2
q-000,40122,28801,40122,glm-5.2
q-001,67460,114990,114990,glm-5.2
q-001,57590,116132,116132,glm-5.2
q-001,114990,116132,116132,glm-5.2
q-001,22831,31858,31858,glm-5.2
q-001,23327,76912,76912,glm-5.2
q-001,127571,109799,127571,glm-5.2
q-001,31858,84026,31858,glm-5.2
q-001,127726,125435,127726,glm-5.2
q-001,118798,83103,83103,glm-5.2
q-001,23327,127571,127571,glm-5.2
q-001,37894,23327,37894,glm-5.2
q-001,23327,22831,23327,glm-5.2
q-001,83067,84379,84379,glm-5.2
q-001,114990,22831,22831,glm-5.2
q-001,116132,84379,116132,glm-5.2
q-001,57590,121757,57590,glm-5.2
q-001,87052,109788,87052,glm-5.2
q-001,102836,97959,97959,glm-5.2
q-001,22831,126092,126092,glm-5.2
q-001,125435,67013,67013,glm-5.2
q-001,79260,4,4,glm-5.2
q-001,87052,25695,87052,glm-5.2
q-001,63805,46874,46874,glm-5.2
q-001,25695,79260,25695,glm-5.2
q-001,121757,97959,97959,glm-5.2
q-001,63805,127688,127688,glm-5.2
q-001,116132,121757,116132,glm-5.2
q-001,67460,22831,22831,glm-5.2
q-001,18460,67460,18460,glm-5.2
q-001,97959,87052,97959,glm-5.2
q-001,125435,18460,18460,glm-5.2
q-001,64609,87052,87052,glm-5.2
q-000,105065,84120,105065,glm-5.2
q-000,81898,73887,73887,glm-5.2
q-001,118798,125435,125435,glm-5.2
q-001,44635,127571,127571,glm-5.2
q-001,31858,25695,31858,glm-5.2
q-001,127726,22831,127726,glm-5.2
q-001,84026,116132,116132,glm-5.2
q-001,84379,46874,84379,glm-5.2
q-001,102836,67460,102836,glm-5.2
q-001,67013,83103,67013,glm-5.2
q-001,97959,44635,97959,glm-5.2
q-001,83067,22831,22831,glm-5.2
q-001,31894,23327,31894,glm-5.2
q-001,78745,83067,78745,glm-5.2
q-001,84379,44635,84379,glm-5.2
q-001,76912,118798,76912,glm-5.2
q-001,127688,106922,127688,glm-5.2
q-001,87052,63805,87052,glm-5.2
q-001,83067,44635,44635,glm-5.2
q-001,114990,22717,114990,glm-5.2
q-001,63805,79260,63805,glm-5.2
q-001,18460,83103,83103,glm-5.2
q-001,126092,64609,126092,glm-5.2
q-001,22717,76912,76912,glm-5.2
q-001,57590,49052,57590,glm-5.2
q-001,106922,109788,109788,glm-5.2
q-001,109788,64609,109788,glm-5.2
q-001,4,87052,4,glm-5.2
q-001,126092,87052,126092,glm-5.2
q-001,57590,127688,127688,glm-5.2
q-001,126092,23007,126092,glm-5.2
q-001,23007,76912,76912,glm-5.2
q-001,97959,22717,97959,glm-5.2
q-001,22717,127726,127726,glm-5.2
q-001,109788,23007,109788,glm-5.2
q-001,106922,67013,67013,glm-5.2
q-001,109788,57590,109788,glm-5.2
q-001,127688,83067,127688,glm-5.2
q-001,23007,127571,127571,glm-5.2
q-001,23007,37894,37894,glm-5.2
q-001,49052,102836,49052,glm-5.2
q-001,126092,63805,126092,glm-5.2
q-001,114990,102836,102836,glm-5.2
q-001,114990,127571,127571,glm-5.2
q-001,78745,125435,125435,glm-5.2
q-001,23007,127726,127726,glm-5.2
q-001,64609,109799,109799,glm-5.2
q-001,114990,31858,31858,glm-5.2
q-001,46874,23327,23327,glm-5.2
q-001,84379,76912,76912,glm-5.2
q-001,67013,127688,67013,glm-5.2
q-001,118798,22717,22717,glm-5.2
q-001,25695,22717,25695,glm-5.2
q-001,84379,37894,84379,glm-5.2
q-001,4,126092,4,glm-5.2
q-001,121757,109788,109788,glm-5.2
q-001,84026,127688,127688,glm-5.2
q-001,102836,87052,87052,glm-5.2
q-001,118798,106922,106922,glm-5.2
q-001,31894,83067,31894,glm-5.2
q-001,67013,109788,67013,glm-5.2
q-001,118798,64609,64609,glm-5.2
q-001,78745,116132,116132,glm-5.2
q-001,46874,22831,46874,glm-5.2
q-001,109799,63805,109799,glm-5.2
q-001,78745,31858,31858,glm-5.2
q-001,49052,79260,49052,glm-5.2
q-001,4,37894,4,glm-5.2
q-001,63805,84379,84379,glm-5.2
q-001,44635,64609,44635,glm-5.2
q-001,25695,67460,25695,glm-5.2
q-001,106922,49052,106922,glm-5.2
q-001,109799,125435,109799,glm-5.2
q-001,84026,23327,84026,glm-5.2
q-001,31894,23007,31894,glm-5.2
q-001,23007,23327,23327,glm-5.2
q-001,97959,4,97959,glm-5.2
q-001,127726,31858,127726,glm-5.2
q-001,63805,22717,63805,glm-5.2
q-001,102836,79260,102836,glm-5.2
q-001,31858,109799,31858,glm-5.2
q-001,44635,121757,44635,glm-5.2
q-001,25695,127726,127726,glm-5.2
q-001,67013,87052,67013,glm-5.2
q-001,49052,67013,67013,glm-5.2
q-001,127571,18460,127571,glm-5.2
q-001,67460,64609,64609,glm-5.2
q-001,67460,106922,106922,glm-5.2
q-001,125435,64609,125435,glm-5.2
q-001,125435,76912,76912,glm-5.2
q-001,67460,57590,57590,glm-5.2
q-001,83067,25695,25695,glm-5.2
q-001,97959,109788,97959,glm-5.2
q-001,84379,126092,84379,glm-5.2
q-001,37894,67460,37894,glm-5.2
q-001,46874,106922,46874,glm-5.2
q-001,78745,57590,57590,glm-5.2
q-001,57590,23007,57590,glm-5.2
q-001,84026,83103,84026,glm-5.2
q-001,22717,116132,116132,glm-5.2
q-001,127688,121757,127688,glm-5.2
q-001,79260,22831,22831,glm-5.2
q-001,25695,102836,102836,glm-5.2
q-001,127726,57590,127726,glm-5.2
q-001,79260,78745,78745,glm-5.2
q-001,63805,67460,63805,glm-5.2
q-001,57590,109799,57590,glm-5.2
q-001,49052,23327,23327,glm-5.2
q-001,44635,18460,44635,glm-5.2
q-001,64609,23007,64609,glm-5.2
q-001,76912,121757,76912,glm-5.2
q-001,83067,109799,109799,glm-5.2
q-001,22717,18460,18460,glm-5.2
q-001,83103,37894,37894,glm-5.2
q-001,114990,18460,18460,glm-5.2
q-001,46874,37894,46874,glm-5.2
q-001,76912,46874,76912,glm-5.2
q-001,31894,46874,31894,glm-5.2
q-001,84026,22717,84026,glm-5.2
q-001,102836,31894,31894,glm-5.2
q-001,37894,121757,37894,glm-5.2
q-001,127571,84026,127571,glm-5.2
q-001,44635,127688,127688,glm-5.2
q-001,31894,121757,31894,glm-5.2
q-001,67013,97959,97959,glm-5.2
q-001,126092,78745,126092,glm-5.2
q-001,83103,126092,126092,glm-5.2
q-001,127688,79260,127688,glm-5.2
q-001,127726,84026,127726,glm-5.2
q-001,49052,44635,44635,glm-5.2
q-001,116132,4,116132,glm-5.2
q-001,127726,67013,127726,glm-5.2
q-001,83067,67013,67013,glm-5.2
q-001,83103,127571,127571,glm-5.2
q-001,37894,84026,84026,glm-5.2
q-001,84026,31894,31894,glm-5.2
q-001,76912,49052,76912,glm-5.2
q-001,84379,18460,84379,glm-5.2
q-001,127688,109799,127688,glm-5.2
q-001,79260,127571,127571,glm-5.2
q-001,25695,46874,46874,glm-5.2
q-001,118798,109788,109788,glm-5.2
q-001,4,121757,4,glm-5.2
q-001,49052,25695,49052,glm-5.2
q-001,18460,83067,18460,glm-5.2
q-001,109799,78745,109799,glm-5.2
q-002,49383,81468,81468,glm-5.2
q-002,24706,94328,94328,glm-5.2
q-002,60391,97727,60391,glm-5.2
q-002,124451,52165,124451,glm-5.2
q-002,25073,52178,25073,glm-5.2
q-002,94109,69483,69483,glm-5.2
q-002,71708,52735,52735,glm-5.2
q-002,18949,69483,69483,glm-5.2
q-002,49383,71708,71708,glm-5.2
q-002,27114,71708,71708,glm-5.2
q-002,35034,47064,47064,glm-5.2
q-002,60881,69483,69483,glm-5.2
q-002,21026,10,10,glm-5.2
q-002,37650,71265,37650,glm-5.2
q-002,81468,94421,81468,glm-5.2
q-002,81468,71922,71922,glm-5.2
q-002,21026,24706,24706,glm-5.2
q-002,35034,819,819,glm-5.2
q-002,71922,25073,25073,glm-5.2
q-002,122351,37650,122351,glm-5.2
q-002,52735,94323,52735,glm-5.2
q-002,49383,52178,52178,glm-5.2
q-002,819,18949,819,glm-5.2
q-002,60391,27114,60391,glm-5.2
q-002,60881,18949,60881,glm-5.2
q-002,122351,94323,122351,glm-5.2
q-002,49383,30871,30871,glm-5.2
q-002,53220,81468,81468,glm-5.2
q-002,94328,37650,94328,glm-5.2
q-002,25073,18949,25073,glm-5.2
q-002,69483,71265,69483,glm-5.2
q-002,35034,71265,35034,glm-5.2
q-002,69780,81468,69780,glm-5.2
q-002,60881,19561,19561,glm-5.2
q-002,71922,94323,71922,glm-5.2
q-002,124451,71265,124451,glm-5.2
q-002,37650,70830,37650,glm-5.2
q-002,122351,819,122351,glm-5.2
q-002,71922,52165,52165,glm-5.2
q-002,94109,25073,94109,glm-5.2
q-002,37650,81468,81468,glm-5.2
q-002,94323,69780,69780,glm-5.2
q-002,69483,97727,69483,glm-5.2
q-002,60881,29823,29823,glm-5.2
q-002,27114,53220,53220,glm-5.2
q-002,47064,25073,47064,glm-5.2
q-002,94421,37650,94421,glm-5.2
q-002,47064,69483,47064,glm-5.2
q-002,94320,53220,53220,glm-5.2
q-002,124451,52735,124451,glm-5.2
q-002,70830,35034,35034,glm-5.2
q-002,124451,27114,124451,glm-5.2
q-002,94320,52165,52165,glm-5.2
q-002,70830,18723,18723,glm-5.2
q-002,47064,52178,47064,glm-5.2
q-002,29823,80808,29823,glm-5.2
q-002,29823,71265,29823,glm-5.2
q-002,97785,47064,47064,glm-5.2
q-002,25073,27114,25073,glm-5.2
q-002,69483,52178,69483,glm-5.2
q-002,71708,35034,71708,glm-5.2
q-002,94323,94421,94323,glm-5.2
q-002,60391,124451,124451,glm-5.2
q-002,30871,52178,30871,glm-5.2
q-002,24706,94320,24706,glm-5.2
q-002,80808,94328,94328,glm-5.2
q-002,30871,60391,30871,glm-5.2
q-002,31407,10,10,glm-5.2
q-002,94421,97727,97727,glm-5.2
q-002,124451,18723,124451,glm-5.2
q-002,53247,71265,53247,glm-5.2
q-002,37650,24706,24706,glm-5.2
q-002,69780,124451,69780,glm-5.2
q-002,71922,94320,71922,glm-5.2
q-002,27114,97785,27114,glm-5.2
q-002,819,30871,30871,glm-5.2
q-002,60881,71708,71708,glm-5.2
q-002,52178,24706,24706,glm-5.2
q-002,25073,80808,25073,glm-5.2
q-002,69780,52165,52165,glm-5.2
q-002,94109,122351,94109,glm-5.2
q-002,31407,37650,37650,glm-5.2
q-002,30871,53220,30871,glm-5.2
q-002,19561,124451,19561,glm-5.2
q-002,52735,71922,71922,glm-5.2
q-002,31407,52178,52178,glm-5.2
q-002,60391,31407,60391,glm-5.2
q-002,49383,69780,69780,glm-5.2
q-002,10,18723,10,glm-5.2
q-002,71922,24706,24706,glm-5.2
q-002,81468,29823,81468,glm-5.2
q-002,53220,69483,69483,glm-5.2
q-002,94328,53247,94328,glm-5.2
q-002,21026,53220,53220,glm-5.2
q-002,60881,94323,60881,glm-5.2
q-002,71708,29823,71708,glm-5.2
q-002,21026,18949,21026,glm-5.2
q-002,53247,52735,52735,glm-5.2
q-002,122351,18949,122351,glm-5.2
q-002,18949,60391,60391,glm-5.2
q-002,94109,94328,94328,glm-5.2
q-002,18723,31407,31407,glm-5.2
q-002,122351,80808,122351,glm-5.2
q-002,10,94109,10,glm-5.2
q-002,37650,19561,19561,glm-5.2
q-002,31407,53220,53220,glm-5.2
q-002,18949,49383,18949,glm-5.2
q-002,97727,52165,52165,glm-5.2
q-002,37650,29823,29823,glm-5.2
q-002,18723,53247,53247,glm-5.2
q-002,25073,94421,25073,glm-5.2
q-002,97727,49383,97727,glm-5.2
q-002,81468,97727,81468,glm-5.2
q-002,30871,29823,30871,glm-5.2
q-002,97727,27114,27114,glm-5.2
q-002,71708,94320,71708,glm-5.2
q-002,19561,71922,19561,glm-5.2
q-002,60391,53247,60391,glm-5.2
q-002,94421,94109,94109,glm-5.2
q-002,71708,94421,71708,glm-5.2
q-002,94323,25073,25073,glm-5.2
q-002,53247,53220,53220,glm-5.2
q-002,819,52178,819,glm-5.2
q-002,70830,80808,80808,glm-5.2
q-002,97785,94323,94323,glm-5.2
q-002,35034,30871,30871,glm-5.2
q-002,819,97785,819,glm-5.2
q-002,94109,18723,94109,glm-5.2
q-002,53220,71265,53220,glm-5.2
q-002,70830,122351,122351,glm-5.2
q-002,21026,60881,60881,glm-5.2
q-002,71922,94328,94328,glm-5.2
q-002,97785,69483,69483,glm-5.2
q-002,31407,97785,97785,glm-5.2
q-002,35034,21026,35034,glm-5.2
q-002,10,30871,10,glm-5.2
q-002,47064,18723,47064,glm-5.2
q-002,819,71922,819,glm-5.2
q-002,819,52735,52735,glm-5.2
q-002,97727,94320,97727,glm-5.2
q-002,94323,49383,94323,glm-5.2
q-002,52735,35034,52735,glm-5.2
q-002,52735,80808,52735,glm-5.2
q-002,122351,52165,122351,glm-5.2
q-002,29823,94421,29823,glm-5.2
q-002,71265,21026,71265,glm-5.2
q-002,24706,71265,24706,glm-5.2
q-002,94328,94421,94328,glm-5.2
q-002,60881,97785,60881,glm-5.2
q-002,94320,94328,94328,glm-5.2
q-002,18723,35034,35034,glm-5.2
q-002,10,49383,10,glm-5.2
q-002,80808,24706,24706,glm-5.2
q-002,31407,69780,69780,glm-5.2
q-002,21026,122351,122351,glm-5.2
q-002,97727,30871,30871,glm-5.2
q-002,94421,53247,53247,glm-5.2
q-002,47064,19561,47064,glm-5.2
q-002,80808,60391,80808,glm-5.2
q-002,70830,124451,124451,glm-5.2
q-002,29823,97785,29823,glm-5.2
q-002,94320,53247,53247,glm-5.2
q-002,30871,94328,30871,glm-5.2
q-002,81468,10,10,glm-5.2
q-002,97727,52735,52735,glm-5.2
q-002,69780,18949,69780,glm-5.2
q-002,27114,19561,19561,glm-5.2
q-002,25073,19561,19561,glm-5.2
q-002,27114,94328,94328,glm-5.2
q-002,10,71708,10,glm-5.2
q-002,52165,81468,52165,glm-5.2
q-002,94109,819,94109,glm-5.2
q-003,33996,19429,19429,glm-5.2
q-003,74265,14,74265,glm-5.2
q-003,99,24534,24534,glm-5.2
q-003,1185,40095,40095,glm-5.2
q-003,52431,74265,74265,glm-5.2
q-003,72733,1185,72733,glm-5.2
q-003,52431,43028,52431,glm-5.2
q-003,24534,1626,24534,glm-5.2
q-003,24534,53800,24534,glm-5.2
q-003,74265,53800,74265,glm-5.2
q-003,52431,122044,52431,glm-5.2
q-003,24534,74207,24534,glm-5.2
q-003,72733,33996,72733,glm-5.2
q-003,41076,82844,82844,glm-5.2
q-003,83657,42028,83657,glm-5.2
q-003,28598,41076,28598,glm-5.2
q-003,74340,40095,74340,glm-5.2
q-003,83657,74489,74489,glm-5.2
q-003,74489,28598,74489,glm-5.2
q-003,24054,53800,24054,glm-5.2
q-003,122044,74242,74242,glm-5.2
q-003,52431,424,52431,glm-5.2
q-003,24054,74207,24054,glm-5.2
q-003,31210,1185,31210,glm-5.2
q-003,24054,99,99,glm-5.2
q-003,42028,52431,42028,glm-5.2
q-003,34460,40095,34460,glm-5.2
q-003,28598,34425,34425,glm-5.2
q-003,77379,74568,74568,glm-5.2
q-003,77141,34425,34425,glm-5.2
q-003,119062,1185,1185,glm-5.2
q-003,77141,74242,74242,glm-5.2
q-003,14,83657,14,glm-5.2
q-003,74242,14,74242,glm-5.2
q-003,1626,72733,72733,glm-5.2
q-003,80785,77379,80785,glm-5.2
q-003,74489,52431,74489,glm-5.2
q-003,74340,34460,74340,glm-5.2
q-003,1185,80785,80785,glm-5.2
q-003,24534,119062,24534,glm-5.2
q-003,99,14,14,glm-5.2
q-003,14,53800,14,glm-5.2
q-003,86988,24534,24534,glm-5.2
q-003,1626,74340,74340,glm-5.2
q-003,74207,40095,74207,glm-5.2
q-003,28598,31647,31647,glm-5.2
q-003,83657,80785,80785,glm-5.2
q-003,31210,74207,31210,glm-5.2
q-003,34460,52431,52431,glm-5.2
q-003,74568,24054,74568,glm-5.2
q-003,74568,1626,74568,glm-5.2
q-003,1642,24054,24054,glm-5.2
q-003,14,31647,14,glm-5.2
q-003,74265,74242,74242,glm-5.2
q-003,42028,424,42028,glm-5.2
q-003,122044,34425,34425,glm-5.2
q-003,24054,80785,24054,glm-5.2
q-003,77379,74207,74207,glm-5.2
q-003,74207,34460,34460,glm-5.2
q-003,28598,74242,74242,glm-5.2
q-003,99,1185,99,glm-5.2
q-003,1626,19429,19429,glm-5.2
q-003,99,1642,99,glm-5.2
q-003,34460,24054,34460,glm-5.2
q-003,424,80785,80785,glm-5.2
q-003,99,72733,99,glm-5.2
q-003,74242,74340,74242,glm-5.2
q-003,14,74568,14,glm-5.2
q-003,42028,80785,42028,glm-5.2
q-003,86988,74207,74207,glm-5.2
q-003,19429,74265,74265,glm-5.2
q-003,1626,33996,1626,glm-5.2
q-003,34425,41076,34425,glm-5.2
q-003,74242,1642,74242,glm-5.2
q-003,74568,52431,74568,glm-5.2
q-003,28598,1642,28598,glm-5.2
q-003,83657,31647,31647,glm-5.2
q-003,74242,31647,74242,glm-5.2
q-003,31210,80785,31210,glm-5.2
q-003,31210,99,31210,glm-5.2
q-003,31647,41076,31647,glm-5.2
q-003,43028,34425,34425,glm-5.2
q-003,74489,41076,74489,glm-5.2
q-003,24054,42028,42028,glm-5.2
q-003,77379,74265,74265,glm-5.2
q-003,43028,1642,1642,glm-5.2
q-003,74489,34460,74489,glm-5.2
q-003,74207,52431,52431,glm-5.2
q-003,31210,34460,31210,glm-5.2
q-003,40095,77141,77141,glm-5.2
q-003,122044,33996,122044,glm-5.2
q-003,77141,1185,77141,glm-5.2
q-003,40095,77379,40095,glm-5.2
q-003,74340,119062,74340,glm-5.2
q-003,19429,28598,19429,glm-5.2
q-003,34460,82844,34460,glm-5.2
q-003,74207,77141,77141,glm-5.2
q-003,34425,72733,34425,glm-5.2
q-003,19429,24534,19429,glm-5.2
q-003,74568,74340,74568,glm-5.2
q-003,43028,74265,74265,glm-5.2
q-003,77141,33996,77141,glm-5.2
q-003,86988,42028,42028,glm-5.2
q-003,41076,72733,72733,glm-5.2
q-002,70830,53247,53247,glm-5.2
q-003,74340,34425,34425,glm-5.2
q-003,14,119062,14,glm-5.2
q-003,74340,80785,74340,glm-5.2
q-003,19429,53800,19429,glm-5.2
q-003,86988,77141,77141,glm-5.2
q-003,86988,14,14,glm-5.2
q-003,74489,33996,74489,glm-5.2
q-003,74568,83657,74568,glm-5.2
q-003,1626,77379,1626,glm-5.2
q-003,82844,424,82844,glm-5.2
q-003,28598,24534,24534,glm-5.2
q-003,424,122044,122044,glm-5.2
q-003,72733,19429,19429,glm-5.2
q-003,122044,74265,74265,glm-5.2
q-003,74265,40095,74265,glm-5.2
q-003,86988,53800,53800,glm-5.2
q-003,77141,82844,77141,glm-5.2
q-003,43028,83657,83657,glm-5.2
q-003,82844,31210,31210,glm-5.2
q-003,74242,43028,74242,glm-5.2
q-003,33996,28598,28598,glm-5.2
q-003,53800,34425,34425,glm-5.2
q-003,122044,119062,122044,glm-5.2
q-003,74489,77379,74489,glm-5.2
q-003,31210,19429,31210,glm-5.2
q-003,31210,122044,31210,glm-5.2
q-003,24054,43028,24054,glm-5.2
q-003,31647,80785,31647,glm-5.2
q-003,1626,86988,1626,glm-5.2
q-003,53800,41076,53800,glm-5.2
q-003,1185,1626,1626,glm-5.2
q-003,83657,72733,83657,glm-5.2
q-003,19429,74568,19429,glm-5.2
q-003,86988,74340,74340,glm-5.2
q-003,82844,99,99,glm-5.2
q-003,40095,74242,74242,glm-5.2
q-003,1626,74265,74265,glm-5.2
q-003,86988,28598,28598,glm-5.2
q-003,31647,34460,31647,glm-5.2
q-003,77379,1642,77379,glm-5.2
q-003,40095,41076,40095,glm-5.2
q-003,33996,74340,74340,glm-5.2
q-003,74489,31210,74489,glm-5.2
q-003,122044,99,99,glm-5.2
q-003,31647,24054,31647,glm-5.2
q-003,1185,24534,24534,glm-5.2
q-003,33996,83657,83657,glm-5.2
q-003,14,43028,14,glm-5.2
q-003,74568,119062,74568,glm-5.2
q-003,119062,1642,1642,glm-5.2
q-003,1642,424,424,glm-5.2
q-003,74489,82844,74489,glm-5.2
q-003,31647,42028,31647,glm-5.2
q-003,119062,41076,41076,glm-5.2
q-004,56553,51363,51363,glm-5.2
q-004,74368,68263,68263,glm-5.2
q-004,66564,62710,66564,glm-5.2
q-004,41261,35911,35911,glm-5.2
q-004,28652,51363,51363,glm-5.2
q-004,1202,97757,97757,glm-5.2
q-004,74546,74610,74546,glm-5.2
q-004,35152,74368,35152,glm-5.2
q-004,51363,65577,51363,glm-5.2
q-004,35911,22711,35911,glm-5.2
q-004,83360,56553,56553,glm-5.2
q-004,74610,56553,56553,glm-5.2
q-004,23267,1202,1202,glm-5.2
q-004,35152,68263,68263,glm-5.2
q-004,74546,41261,74546,glm-5.2
q-004,19,54860,19,glm-5.2
q-004,83360,51363,51363,glm-5.2
